year,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape_final
1981,North Dakota,658000,444,15,85,287,19237,3294,14859,1084,28.640528073803086
1981,Nebraska,1576000,2861,49,1115,1374,62977,14383,45324,3270,150.82404406999353
1981,New Hampshire,935000,1375,27,335,859,39034,11090,25692,2252,55.694501018329944
1981,New Jersey,7401000,46674,542,24761,18997,410693,128274,231846,50573,402.76309035302074
1981,New Mexico,1327000,8913,151,1868,6266,73369,21405,47252,4712,210.5811387900356
1981,Nevada,845000,7575,148,3870,3009,65027,23046,36955,5026,244.49126913245667
1981,New York,17594000,188178,2166,120344,60189,1026757,350422,539486,136849,1582.0499265514845
1981,Ohio,10776000,53509,799,25529,23842,533498,160951,326770,45777,877.0611635971894
1981,Oklahoma,3098000,13223,279,3574,8279,136637,49220,74460,12957,351.57259637714816
1981,Oregon,2647000,12671,117,4780,6669,173596,52067,112518,9011,327.57376945597
1981,Pennsylvania,11864000,44104,729,22137,18576,392872,122372,226701,43799,747.5081062147647
1981,Rhode Island,952000,4205,40,1257,2738,51504,15755,27525,8224,55.042054806909654
1981,South Carolina,3166000,20275,330,3805,14992,148127,50520,88887,8720,351.16413722739446
1981,South Dakota,685000,718,12,122,505,19922,4348,14587,987,30.140725495240545
1981,Tennessee,4610000,19019,448,7916,8920,179737,63811,100526,15400,472.58232119580447
1981,Texas,14755000,78560,2446,28528,40765,814163,275978,454879,83306,2350.393980746167
1981,Utah,1516000,4527,50,1286,2760,82643,19326,58855,4462,201.66938088366658
1981,Virginia,5426000,17456,464,7229,8285,235984,63350,161678,10956,490.96026963220675
1981,Vermont,515000,659,22,142,325,25404,8033,15860,1511,52.5701542464226
1981,Washington,4212000,18839,213,5475,11036,265135,79696,171994,13445,520.9714363658409
1981,Wisconsin,4739000,8904,161,3249,4749,216997,50813,155892,10292,291.70559393266024
1981,West Virginia,1951000,3410,118,979,2024,47681,15122,28884,3675,121.69845156643859
1981,Wyoming,492000,2116,27,206,1709,23133,4728,16972,1433,62.25836431226766
1982,TOTAL,231664458,1322390,21010,553130,669480,11652000,3447100,7142500,1062400,23551.35382179503
1982,Alaska,438000,2732,81,586,1691,24479,5204,16672,2603,169.49825242718447
1982,Alabama,3943000,17653,417,4417,11793,165048,49531,104740,10777,310.61427721365914
1982,Arkansas,2291000,7438,187,1805,4824,81259,24547,52450,4262,273.9062954443299
1982,Arizona,2860000,14785,236,4537,8912,189161,53861,124723,10577,457.35647406677344
1982,California,24724000,201429,2779,91988,94133,1599827,499466,935831,164530,3344.506235578508
1982,Colorado,3045000,15354,182,4587,9229,200230,53260,134873,12097,583.0231060158374
1982,Connecticut,3153000,12597,164,6574,5167,158532,44481,96640,17411,158.86778077268644
1982,District of Columbia,631000,13397,194,9137,3645,52295,14774,33435,4086,139.617140105922
1982,Delaware,602000,3370,32,737,2415,35067,8698,23891,2478,35.26897220874628
1982,Florida,10416000,93411,1409,31002,55413,684166,211932,427462,44772,1458.8442314624374
1982,Georgia,5639000,26963,713,8716,15292,267097,84469,165049,17579,603.96744737362
1982,Hawaii,994000,2542,31,1560,609,62906,16477,42248,4181,116.42924906954681
1982,Iowa,2905000,5018,67,1051,3538,115148,27535,82568,5045,143.71748680127354
1982,Idaho,965000,2501,24,292,2025,36902,9958,25256,1688,68.62701500833796
1982,Illinois,11448000,88644,1005,39700,44515,579954,157273,354106,68575,950.2167273489273
1982,Indiana,5471000,16444,355,5966,8602,225894,59569,148454,17871,434.5263345142976
1982,Kansas,2408000,8088,138,2095,5259,111156,32382,73416,5358,189.25962351945853
1982,Kentucky,3667000,11550,355,3568,6893,119304,37736,73020,8548,230.73813791151778
1982,Louisiana,4362000,29185,698,9275,17472,202489,62151,125701,14637,438.0301688856222
1982,Massachusetts,5781000,33031,219,12359,18989,285140,82212,146933,55995,388.38187417509903
1982,Maryland,4265000,36254,432,15377,18849,220174,60547,142903,16724,378.34064451661254
1982,Maine,1133000,1847,24,345,1326,41884,11862,27863,2159,54.110681625341755
1982,Michigan,9109000,59806,827,24699,30034,558195,165155,330031,63009,1151.3778942641834
1982,Minnesota,4133000,9062,95,4188,3841,175048,48855,116375,9818,255.5791623801643
1982,Missouri,4951000,25078,479,9554,13762,219888,68881,134383,16624,452.5019556931476
1982,Mississippi,2551000,7515,358,1863,4619,83622,30200,49504,3918,149.2416582406471
1982,Montana,801000,1801,31,265,1386,32908,6759,24079,2070,58.1821980777267
1982,North Carolina,6019000,26865,545,5168,19830,246593,78787,156701,11105,369.8621197962595
1982,North Dakota,670000,414,5,85,258,17328,3074,13314,940,33.16271671703515
1982,Nebraska,1586000,3641,31,982,2299,59019,12867,43331,2821,153.6257290991575
1982,New Hampshire,951000,1187,21,322,690,35229,8987,24115,2127,55.694501018329944
1982,New Jersey,7438000,45175,482,22880,19664,377016,106418,223978,46620,364.5905143928566
1982,New Mexico,1359000,9982,158,1715,7453,79816,22135,53402,4279,219.97010676156583
1982,Nevada,881000,7096,120,3697,2737,62512,21256,36279,4977,241.81435742662683
1982,New York,17659000,174833,2013,107843,59818,967369,295245,534244,137880,1489.6505878954388
1982,Ohio,10791000,47126,676,19809,23418,485468,141316,302962,41190,846.5912339843491
1982,Oklahoma,3177000,14103,344,4218,8361,151814,50956,85326,15532,380.25267069205756
1982,Oregon,2649000,12529,136,4433,6903,161444,47410,106061,7973,313.3443206470229
1982,Pennsylvania,11865000,42767,678,20806,18835,366903,106867,220623,39413,687.415418487507
1982,Rhode Island,958000,3849,35,1099,2529,47539,13414,27077,7048,60.2224834946188
1982,South Carolina,3203000,23061,348,3921,17550,148657,47752,92009,8896,379.9179951536794
1982,South Dakota,691000,684,19,118,468,17592,3885,12889,818,30.140725495240545
1982,Tennessee,4651000,19586,452,8173,9310,185692,59934,110316,15442,449.7022549246531
1982,Texas,15280000,88178,2466,33618,45278,874799,285967,501727,87105,2348.6710706298013
1982,Utah,1554000,4440,53,1344,2674,78451,17202,57341,3908,172.65893630179343
1982,Virginia,5491000,16970,405,6708,8491,216713,53457,153148,10108,453.75624378727633
1982,Vermont,516000,655,12,119,344,23555,6080,16160,1315,55.66251626091804
1982,Washington,4245000,17251,185,5003,10116,249429,71322,166188,11919,479.58930808713575
1982,Wisconsin,4765000,9077,148,3393,4856,202447,46564,147177,8706,266.25477030095163
1982,West Virginia,1948000,3405,102,970,2031,45514,13985,27962,3567,127.17277637738566
1982,Wyoming,502000,1527,46,172,1173,22589,4432,16903,1254,48.66171003717472
1983,TOTAL,233791994,1258087,19308,506567,653294,10850543,3129851,6712759,1007933,23595.604175554403
1983,Alaska,479000,2940,66,465,1923,25889,5720,17085,3084,220.25708737864076
1983,Alabama,3959000,16471,364,3895,11281,145890,42485,94279,9126,281.8536959901722
1983,Arkansas,2328000,6930,178,1614,4552,74563,22380,48140,4043,258.0531979588059
1983,Arizona,2963000,14642,213,3923,9265,174740,49440,114721,10579,515.9812584698781
1983,California,25174000,194491,2639,85826,93933,1486487,460460,867123,158904,3228.119874439373
1983,Colorado,3139000,14955,202,3968,9469,193070,48101,133271,11698,565.8247843044558
1983,Connecticut,3138000,11767,129,6296,4715,144437,39988,89421,15028,143.94522911051214
1983,District of Columbia,623000,11933,183,7698,3646,45843,12483,29405,3955,134.6426576793452
1983,Delaware,606000,2746,25,699,1793,30378,7414,20908,2056,43.42255180539192
1983,Florida,10680000,88292,1199,28126,53797,635934,191902,400796,43236,1349.9596700663685
1983,Georgia,5732000,26179,483,8267,15408,232062,72614,143398,16050,544.4327435959348
1983,Hawaii,1023000,2579,57,1330,891,56853,13636,38920,4297,102.47135663723272
1983,Iowa,2905000,5262,68,1192,3637,108587,26599,77402,4586,144.90851569741668
1983,Idaho,989000,2361,35,270,1875,35872,9206,24979,1687,77.63431072818231
1983,Illinois,11486000,83629,1112,36625,42273,552857,148445,339061,65351,1004.3324580244649
1983,Indiana,5479000,15547,286,5474,8278,210725,54147,138929,17649,431.0981188573801
1983,Kansas,2425000,7919,137,2038,5117,101928,28318,68735,4875,199.10366434010152
1983,Kentucky,3714000,11967,364,3236,7550,115602,36286,71322,7994,256.8297802094142
1983,Louisiana,4438000,28444,629,8433,17612,194636,57359,123492,13785,445.58241317675356
1983,Massachusetts,5767000,33264,203,12023,19543,255707,72291,133883,49533,396.60580730312364
1983,Maryland,4304000,34736,367,14950,18007,195828,52697,127443,15688,334.72242484803064
1983,Maine,1146000,1829,24,311,1301,40357,11415,27022,1920,68.70632601112473
1983,Michigan,9069000,64993,910,25873,33125,522450,153438,302118,66894,1378.8875629612278
1983,Minnesota,4144000,7909,69,3298,3615,159268,44571,106034,8663,252.58196537997048
1983,Missouri,4970000,23718,403,8346,13639,201418,60496,125140,15782,469.07841081207033
1983,Mississippi,2587000,7255,290,1650,4699,75740,26479,45584,3677,136.19683181664982
1983,Montana,817000,1737,30,192,1353,36208,7420,26918,1870,79.20601755119098
1983,North Carolina,6082000,24911,490,4840,18249,229540,72348,147068,10124,372.6598665420708
1983,North Dakota,680000,365,14,53,213,17828,2967,13983,878,42.70955940830285
1983,Nebraska,1597000,3477,42,796,2300,57012,12408,42026,2578,158.2952041477641
1983,New Hampshire,959000,1200,19,231,763,30987,7882,21359,1746,67.62903695082922
1983,New Jersey,7468000,41304,399,20086,18553,344296,92391,206778,45127,384.440253892142
1983,New Mexico,1399000,9608,124,1595,7218,79175,21813,53077,4285,224.99991103202848
1983,Nevada,891000,5838,114,2737,2530,53871,17922,31749,4200,203.89144159403776
1983,New York,17667000,161489,1958,94783,59452,881322,249115,504346,127861,1529.2090547575583
1983,Ohio,10746000,42759,600,17132,21640,441362,124179,280156,37027,889.6694103335371
1983,Oklahoma,3298000,13964,249,4245,8223,148599,49782,84085,14732,401.8432884347422
1983,Oregon,2662000,12986,109,4533,7266,153412,46472,98880,8060,319.5697045009373
1983,Pennsylvania,11895000,40782,583,20501,17249,339321,96425,205408,37488,687.6962254395036
1983,Rhode Island,955000,3392,26,1078,2128,44410,12722,25463,6225,51.80428687709144
1983,South Carolina,3264000,20133,321,3425,15243,135590,42263,85501,7826,349.9405688049994
1983,South Dakota,700000,840,15,111,595,16993,3820,12453,720,45.40185232827373
1983,Tennessee,4685000,18836,410,8094,8650,169110,56498,97785,14827,458.14608890567325
1983,Texas,15724000,80546,2239,29769,42205,848312,262198,503582,82532,2182.237953388869
1983,Utah,1619000,4144,56,1041,2644,78715,16446,58453,3816,188.56788978217548
1983,Virginia,5550000,16236,387,6132,8347,203632,51055,142714,9863,455.0849589960239
1983,Vermont,525000,696,19,146,317,21001,5724,14296,981,66.17654711020256
1983,Washington,4300000,15986,212,4533,9318,245357,70526,163953,10878,473.6775754758922
1983,Wisconsin,4751000,9070,131,3415,4663,193118,41980,141434,9704,337.12552533694026
1983,West Virginia,1965000,3375,96,869,2147,44158,13455,27134,3569,110.74980194454447
1983,Wyoming,514000,1219,30,153,926,19412,3626,14932,854,39.358736059479554
1984,TOTAL,235824902,1273282,18692,485008,685349,10608473,2984434,6591874,1032165,25184.73005549398
1984,Alaska,500000,3108,58,547,2045,27468,6184,18140,3144,207.5673786407767
1984,Alabama,3990000,17204,374,3833,11995,138487,39970,89198,9319,303.34844616772557
1984,Arkansas,2349000,7549,176,1587,5089,71554,20810,46807,3937,306.9335818725047
1984,Arizona,3053000,15756,238,4003,10199,182670,52327,118604,11739,547.1646544289762
1984,California,25622000,195589,2717,83924,97246,1461731,443094,857328,161309,3123.745867087533
1984,Colorado,3178000,14548,184,3623,9503,191104,49619,128859,12626,532.2880569672616
